"genotype","severity","defoliation"
"110",5.625,2050
"110",4,1925
"112",24.1607142857143,2762.5
"112",90.2628968253968,6225
"112",64.4623015873016,3500
"112",86.2232142857142,3612.5
"112",81.6388888888887,2450
"113",25.2857142857143,550
"113",48.8700396825397,1300
"113",91.2460317460317,2150
"113",117.320436507937,862.500000000001
"113",97.625,1312.5
"114",280.422619047619,6812.5
"114",275.282738095238,5562.5
"114",306.801587301587,5437.5
"114",303.150793650794,7062.5
"114",279.339285714286,13762.5
"117",0,4112.5
"117",0,6525
"117",0,6550
"117",0,2937.5
"117",0,5487.5
"119",75.7083333333333,3187.5
"119",238.053571428571,7562.5
"119",226.988095238095,3787.5
"119",179.660714285714,6512.5
"119",238.840079365079,7275
"120",81.9583333333333,6912.5
"120",124.568452380952,7662.5
"120",57.9464285714285,7412.5
"120",47.8214285714286,8825
"120",104.640873015873,7575
"122",12.5238095238095,5100
"122",12.3333333333333,5800
"122",12.5,4062.5
"122",27.3928571428571,5712.5
"122",0,7425
"123",14,2925
"123",19.4196428571428,5950
"123",77.4791666666667,7887.5
"123",101.166666666667,5712.5
"123",68.7638888888889,3687.5
"124",67.1517857142857,2312.5
"124",69.7440476190476,4275
"124",105.079365079365,3062.5
"124",39.9166666666667,6300
"124",54.1964285714286,3800
"126",245.333333333333,9562.5
"126",127.479166666667,10137.5
"126",206.811507936508,6975
"126",169.998015873016,5412.5
"126",213.914682539682,4687.5
"130",28.9732142857143,7587.5
"130",0,6375
"130",0,4125
"130",4.99999999999999,6350
"130",26.25,3250
"131",129.708333333333,9487.5
"131",309.166666666667,10700
"131",231.944444444444,9012.5
"131",318.782738095238,10950
"131",257.5,11775
"133",261.473214285714,8412.5
"133",166.053571428572,7875
"133",123.589285714286,5025
"133",284.794642857143,9700
"133",534.583333333333,12125
"134",14.5208333333333,7387.5
"134",17.9375,7275
"134",9.25000000000001,6050
"134",6.875,3187.5
"134",2.25,3862.5
"135",30.2261904761905,7900
"135",39.1696428571429,4025
"135",40.1428571428571,3062.5
"135",21.047619047619,4887.5
"135",6,8037.5
"136",185.589285714285,6737.5
"136",172.258928571429,5525
"136",196.404761904762,5950
"136",222.083333333334,6375
"136",222.113095238095,10925
"137",209.895833333333,6412.5
"137",451.696428571429,13275
"137",219.214285714286,9000
"137",206.577380952381,11850
"137",269.833333333334,12037.5
"138",194.104166666667,7700
"138",205.9375,7712.5
"138",137.236111111111,6412.5
"138",191.208333333333,11287.5
"138",280.178571428572,7050
"139",244.97619047619,4787.5
"139",145.069444444444,5537.5
"139",173.994047619047,5212.5
"139",354.952380952381,5137.5
"139",344.910714285715,4000
"140",211.756944444444,4800
"140",200.964285714286,6025
"140",328.605952380952,9500
"140",304.527777777778,7625
"140",219.982142857143,7887.5
"141",300.575396825397,8425
"141",195.089285714286,4175
"141",218.825396825397,5975
"141",226.46746031746,9025
"141",324.589285714286,8487.5
"142",202.30753968254,7712.5
"142",136.928571428571,9550
"142",94.8958333333334,4862.5
"142",225.070436507936,7112.5
"142",190.345238095238,7812.5
"143",91.5525793650792,2462.5
"143",209.459325396826,4237.5
"143",185.760416666667,5737.5
"143",263.777777777778,6875
"143",337.341666666667,7800
"144",98.3154761904762,5300
"144",133.4375,7375
"144",117.559523809524,3925
"144",166.506944444444,5062.5
"144",103.686507936508,4037.5
"145",275.44494047619,9600
